等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
,"13.低碳钢板对接/搭接火焰钎焊
",13.1 焊前准备,13.1.1 安全检查,（1）钎焊的原理、分类、特点及应用,,操作+讲解,240
,,,,"（2）手工火焰钎焊设备和工机具
①手工火焰钎焊设备
②手工火焰钎焊工机具",,,
,,,,"（3）钎焊设备工机具安全检查
①氧化瓶安全检查
②乙炔瓶安全检查
③减压器安全检查
④焊炬安全检查
⑤胶管安全检查
⑥护目镜安全检查
⑦锤子、錾子等安全检查",,,
,,,,"（4）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,13.1.2 工件的清理与装夹,"（5）焊前清理
①清理要求
②清理内容",,,
,,,,（6）工件组对和定位焊,,,
,,,13.1.3 根据工艺选择材料,（7）钎焊焊接工艺与参数 ,,,180
,,,,"（8）钎焊焊接材料及钎剂
①钎焊钎料
②钎焊常用钎剂",,,240
,,,,"（9）材料准备
①焊件准备
②钎料及钎剂准备",,,120
,,13.2 焊接操作,13.2.1 火焰类型,"（10）火焰的种类
①氧化焰
②中性焰
③碳化焰",,,
,,,13.2.2 焊接操作,"（11）焊接参数确认与调节
①气体压力
②火焰种类
③钎焊温度
④保温时间",,,
,,,,（12）手工火焰钎焊安全操作规程,,,
,,13.3 焊后检查,13.3.1 接头表面清理,"（13）焊后清理
①清理要求
②清理内容",,,
,,,13.3.2 焊后质量自检,"（14）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,操作+PPT+讲解,
,,,,,,,60
,"14.不锈钢板对接/搭接火焰钎焊
",14.1 焊前准备,14.1.1 安全检查,"（1）钎焊设备工机具安全检查
①氧化瓶安全检查
②乙炔瓶安全检查
③减压器安全检查
④焊炬安全检查
⑤胶管安全检查
⑥护目镜安全检查
⑦锤子、錾子等安全检查",,操作+讲解,240
,,,,"（2）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,14.1.2 工件的清理与装夹,"（3）焊前清理
①清理要求
②清理内容",,,
,,,,（4）工件组对和定位焊,,,
,,,14.1.3 根据工艺选择材料,（5）钎焊焊接工艺与参数 ,,,
,,,,"（6）材料准备
①焊件准备
②钎料及钎剂准备",,,
,,14.2 焊接操作,14.2.1 火焰类型,"（7）火焰的种类
①氧化焰
②中性焰
③碳化焰",,,180
,,,,（8）火焰类型的调整,,,240
,,,14.2.2 焊接操作,"（9）焊接参数确认与调节
①气体压力
②火焰种类
③钎焊温度
④保温时间",,,120
,,,,（10）手工火焰钎焊安全操作规程,,,
,,14.3 焊后检查,14.3.1 接头表面清理,"（11）焊后清理
①清理要求
②清理内容",,,
,,,14.3.2 焊后质量自检,"（12）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"15.铜及铜合金板对接/搭接火焰钎焊
",15.1 焊前准备,15.1.1 安全检查,"（1）钎焊设备工机具安全检查
①氧化瓶安全检查
②乙炔瓶安全检查
③减压器安全检查
④焊炬安全检查
⑤胶管安全检查
⑥护目镜安全检查
⑦锤子、錾子等安全检查",,操作+讲解,240
,,,,"（2）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,15.1.2 工件的清理与装夹,"（3）焊前清理
①清理要求
②清理内容",,,
,,,,（4）工件组对和定位焊,,,
,,,15.1.3 根据工艺选择材料,（5）钎焊焊接工艺与参数 ,,,
,,,,"（6）材料准备
①焊件准备
②钎料及钎剂准备",,,
,,15.2 焊接操作,15.2.1 火焰类型,"（7）火焰的种类
①氧化焰
②中性焰
③碳化焰",,,180
,,,,（8）火焰类型的调整,,,240
,,,15.2.2 焊接操作,"（9）焊接参数确认与调节
①气体压力
②火焰种类
③钎焊温度
④保温时间",,,120
,,,,（10）手工火焰钎焊安全操作规程,,,
,,15.3 焊后检查,15.3.1 接头表面清理,"（11）焊后清理
①清理要求
②清理内容",,,
,,,15.3.2 焊后质量自检,"（12）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"16.低碳钢板对接/搭接炉中钎焊
",16.1 焊前准备,16.1.1 安全检查,（1）炉中钎焊的方法、分类及应用,,操作+讲解,240
,,,,"（2）钎焊炉的分类
①空气钎焊炉
②保护气氛钎焊炉
③真空钎焊炉",,,
,,,,（3）炉中钎焊设备、工机具、夹具安全检查,,,
,,,,"（4）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,16.1.2 工件的清理与装夹,"（5）焊前清理
①清理要求
②清理内容",,,
,,,,（6）工件装配与固定,,,
,,,16.1.3 根据工艺选择材料,"（7）炉中钎焊材料的选择
①钎料、钎剂的选择
②阻流剂的选择
③保护气体的选择",,,180
,,,,"（8）材料准备
①焊件准备
②钎料及钎剂准备",,,240
,,16.2 焊接操作,16.2.1 炉中钎焊的工艺要求,"（9）炉中钎焊的工艺流程
①工件表面准备
②预置钎剂、阻流剂
③装配定位、放置钎料
④工件入炉
⑤通入保护气氛、加热干燥
⑥冷却、工件出炉",,,120
,,,16.2.2 炉中钎焊操作要领,"（10）炉中钎焊参数确认与调节
①气体压力
②钎焊温度
③保温时间",,,
,,,,（11）炉中钎焊安全操作规程,,,
,,16.3 焊后检查,16.3.1 接头表面清理,"（12）焊后清理
①清理要求
②清理内容",,,
,,,16.3.2 焊后质量自检,"（13）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,操作+PPT+讲解,
,"17.不锈钢板对接/搭接炉中钎焊
",17.1 焊前准备,17.1.1 安全检查,"（1）钎焊炉的分类
①空气钎焊炉
②保护气氛钎焊炉
③真空钎焊炉",,操作+讲解,240
,,,,（2）炉中钎焊设备、工机具、夹具安全检查,,,
,,,,"（3）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,17.1.2 工件的清理与装夹,"（4）焊前清理
①清理要求
②清理内容",,,
,,,,（5）工件装配与固定,,,
,,,17.1.3 根据工艺选择材料,"（6）炉中钎焊材料的选择
①钎料、钎剂的选择
②阻流剂的选择
③保护气体的选择",,,
,,,,"（7）材料准备
①焊件准备
②钎料及钎剂准备",,,180
,,17.2 焊接操作,17.2.1 炉中钎焊的工艺要求,"（8）炉中钎焊的工艺流程
①工件表面准备
②预置钎剂、阻流剂
③装配定位、放置钎料
④工件入炉
⑤通入保护气氛、加热干燥
⑥冷却、工件出炉",,,240
,,,17.2.2 炉中钎焊操作要领,"（9）炉中钎焊参数确认与调节
①气体压力
②钎焊温度
③保温时间",,,120
,,,,（10）炉中钎焊安全操作规程,,,
,,17.3 焊后检查,17.3.1 接头表面清理,"（11）焊后清理
①清理要求
②清理内容",,,
,,,17.3.2 焊后质量自检,"（12）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"18.铜及铜合金板对接/搭接炉中钎焊
",18.1 焊前准备,18.1.1 安全检查,"（1）钎焊炉的分类
①空气钎焊炉
②保护气氛钎焊炉
③真空钎焊炉",,操作+讲解,240
,,,,（2）炉中钎焊设备、工机具、夹具安全检查,,,
,,,,"（3）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,18.1.2 工件的清理与装夹,"（4）焊前清理
①清理要求
②清理内容",,,
,,,,（5）工件装配与固定,,,
,,,18.1.3 根据工艺选择材料,"（6）炉中钎焊材料的选择
①钎料、钎剂的选择
②阻流剂的选择
③保护气体的选择",,,
,,,,"（7）材料准备
①焊件准备
②钎料及钎剂准备",,,180
,,18.2 焊接操作,18.2.1 炉中钎焊的工艺要求,"（8）炉中钎焊的工艺流程
①工件表面准备
②预置钎剂、阻流剂
③装配定位、放置钎料
④工件入炉
⑤通入保护气氛、加热干燥
⑥冷却、工件出炉",,,240
,,,18.2.2 炉中钎焊操作要领,"（9）炉中钎焊参数确认与调节
①气体压力
②钎焊温度
③保温时间",,,120
,,,,（10）炉中钎焊安全操作规程,,,
,,18.3 焊后检查,18.3.1 接头表面清理,"（11）焊后清理
①清理要求
②清理内容",,,
,,,18.3.2 焊后质量自检,"（12）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"19.低碳钢板感应钎焊
",19.1 焊前准备,19.1.1 安全检查,（1）感应钎焊的方法、特点及应用,,操作+讲解,240
,,,,"（2）感应钎焊的分类
①高频感应钎焊
②中频感应钎焊
③低频感应钎焊",,,
,,,,（3）感应钎焊设备、工机具、夹具安全检查,,,
,,,,"（4）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,19.1.2 工件的清理与装夹,"（5）焊前清理
①清理要求
②清理内容",,,
,,,,（6）工件装配与固定,,,
,,,19.1.3 根据工艺选择材料,"（7）感应钎焊材料的选择
①钎料、钎剂的选择
②材料的电阻率、磁导率",,,180
,,,,"（8）材料准备
①焊件准备
②钎料及钎剂准备",,,240
,,19.2 焊接操作,19.2.1 感应钎焊的工艺要求,"（9）感应钎焊的工艺流程
①工件表面准备
②预置钎剂、钎料、阻流剂
③工件的装配定位
④放入真空室
⑤感应钎焊
⑥冷却、工件出炉",,,120
,,,19.2.2 感应钎焊操作要领,"（10）感应钎焊参数确认与调节
①气体压力
②电流频率
③保温时间",,,
,,,,（11）感应钎焊安全操作规程,,,
,,19.3 焊后检查,19.3.1 接头表面清理,"（12）焊后清理
①清理要求
②清理内容",,,
,,,19.3.2 焊后质量自检,"（13）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,,,,,,操作+PPT+讲解,
,"20.不锈钢板感应钎焊
",20.1 焊前准备,20.1.1 安全检查,（1）感应钎焊设备、工机具、夹具安全检查,,操作+讲解,240
,,,,"（2）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,20.1.2 工件的清理与装夹,"（3）焊前清理
①清理要求
②清理内容",,,
,,,,（4）工件装配与固定,,,
,,,20.1.3 根据工艺选择材料,"（5）感应钎焊材料的选择
①钎料、钎剂的选择
②材料的电阻率、磁导率",,,
,,,,"（6）材料准备
①焊件准备
②钎料及钎剂准备",,,
,,20.2 焊接操作,20.2.1 感应钎焊的工艺要求,"（7）感应钎焊的工艺流程
①工件表面准备
②预置钎剂、钎料、阻流剂
③工件的装配定位
④放入真空室
⑤感应钎焊
⑥冷却、工件出炉",,,180
,,,20.2.2 感应钎焊操作要领,"（8）感应钎焊参数确认与调节
①气体压力
②电流频率
③保温时间",,,240
,,,,（9）感应钎焊安全操作规程,,,120
,,20.3 焊后检查,20.3.1 接头表面清理,"（10）焊后清理
①清理要求
②清理内容",,,
,,,20.3.2 焊后质量自检,"（11）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"21.铜及铜合金板感应钎焊
",21.1 焊前准备,21.1.1 安全检查,（1）感应钎焊设备、工机具、夹具安全检查,,操作+讲解,240
,,,,"（2）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,21.1.2 工件的清理与装夹,"（3）焊前清理
①清理要求
②清理内容",,,
,,,,（4）工件装配与固定,,,
,,,21.1.3 根据工艺选择材料,"（5）感应钎焊材料的选择
①钎料、钎剂的选择
②材料的电阻率、磁导率",,,
,,,,"（6）材料准备
①焊件准备
②钎料及钎剂准备",,,
,,21.2 焊接操作,21.2.1 感应钎焊的工艺要求,"（7）感应钎焊的工艺流程
①工件表面准备
②预置钎剂、钎料、阻流剂
③工件的装配定位
④放入真空室
⑤感应钎焊
⑥冷却、工件出炉",,,180
,,,21.2.2 感应钎焊操作要领,"（8）感应钎焊参数确认与调节
①气体压力
②电流频率
③保温时间",,,240
,,,,（9）感应钎焊安全操作规程,,,120
,,21.3 焊后检查,21.3.1 接头表面清理,"（10）焊后清理
①清理要求
②清理内容",,,
,,,21.3.2 焊后质量自检,"（11）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"22.自动电弧焊
",22.1 焊前准备,22.1.1 安全检查,（1）自动电弧焊的原理、特点及应用,,操作+讲解,240
,,,,"（2）自动电弧焊焊接材料
①焊丝
②焊剂",,,
,,,,（3）自动电弧焊常用工机具,,,
,,,,（4）自动电弧焊常用夹具,,,
,,,,"（5）自动电弧焊安全检查
①焊接电源检查
②控制箱检查
③行走小车检查
④电缆检查
⑤角磨机、直磨机安全检查
⑥夹具安全检查",,,
,,,,"（6）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,22.1.2 自动电弧焊工艺要领,"（7）自动电弧焊基本操作要领
①引弧
②收弧
③碳弧气刨操作",,,
